symbol,last_date
BTC-USD,2026-01-06
ETH-USD,2026-01-06
USDT-USD,2026-01-06
BNB-USD,2026-01-06
XRP-USD,2026-01-06
USDC-USD,2026-01-06
SOL-USD,2026-01-06
STETH-USD,2026-01-06
TRX-USD,2026-01-06
WTRX-USD,2026-01-06
DOGE-USD,2026-01-06
ADA-USD,2026-01-06
WSTETH-USD,2026-01-06
BCH-USD,2026-01-06
WBTC-USD,2026-01-06
WBETH-USD,2026-01-06
WETH-USD,2026-01-06
AETHWETH-USD,2026-01-06
LINK-USD,2026-01-06
WEETH-USD,2026-01-06
LEO-USD,2026-01-06
XLM-USD,2026-01-06
XMR-USD,2026-01-06
ZEC-USD,2026-01-06
LTC-USD,2026-01-06
BTCB-USD,2026-01-06
AVAX-USD,2026-01-06
AETHUSDT-USD,2026-01-06
DAI-USD,2026-01-06
HBAR-USD,2026-01-06
SHIB-USD,2026-01-06
PYUSD-USD,2026-01-06
CRO-USD,2026-01-06
SUSDE-USD,2026-01-06
DOT-USD,2026-01-06
AAVE-USD,2026-01-06
BGB-USD,2026-01-06
OKB-USD,2026-01-06
NEAR-USD,2026-01-06
ETC-USD,2026-01-06
BFUSD-USD,2026-01-06
ENA-USD,2026-01-06
JITOSOL-USD,2026-01-06
ICP-USD,2026-01-06
JLP-USD,2026-01-06
XAUT-USD,2026-01-06
SYRUPUSDC-USD,2026-01-06
PAXG-USD,2026-01-06
ONDO-USD,2026-01-06
WLD-USD,2026-01-06
WBNB-USD,2026-01-06
KCS-USD,2026-01-06
RETH-USD,2026-01-06
KAS-USD,2026-01-06
BNSOL-USD,2026-01-06
RSETH-USD,2026-01-06
SLISBNB-USD,2026-01-06
ALGO-USD,2026-01-06
FBTC-USD,2026-01-06
ATOM-USD,2026-01-06
LSETH-USD,2026-01-06
RLUSD-USD,2026-01-06
VET-USD,2026-01-06
SOLVBTC-USD,2026-01-06
WFLR-USD,2026-01-06
FLR-USD,2026-01-06
SLISBNBX-USD,2026-01-06
FIL-USD,2026-01-06
QNT-USD,2026-01-06
XDC-USD,2026-01-06
GT-USD,2026-01-06
SEI-USD,2026-01-06
USDCE-USD,2026-01-06
KHYPE-USD,2026-01-06
RENDER-USD,2026-01-06
USDD-USD,2026-01-06
BONK-USD,2026-01-06
CAKE-USD,2026-01-06
FDUSD-USD,2026-01-06
BDX-USD,2026-01-06
EZETH-USD,2026-01-06
VBTC-USD,2026-01-06
FTN-USD,2026-01-06
IP-USD,2026-01-06
JUPSOL-USD,2026-01-06
NEXO-USD,2026-01-06
OSETH-USD,2026-01-06
OP-USD,2026-01-06
SYRUPUSDT-USD,2026-01-06
CRV-USD,2026-01-06
FET-USD,2026-01-06
DASH-USD,2026-01-06
VBNB-USD,2026-01-06
XTZ-USD,2026-01-06
INJ-USD,2026-01-06
LDO-USD,2026-01-06
VIRTUAL-USD,2026-01-06
STKAAVE-USD,2026-01-06
WXTZ-USD,2026-01-06
USDAI-USD,2026-01-06
TUSD-USD,2026-01-06
ETHFI-USD,2026-01-06
AB-USD,2026-01-06
MERL-USD,2026-01-06
TIA-USD,2026-01-06
MSOL-USD,2026-01-06
ETHX-USD,2026-01-06
KAIA-USD,2026-01-06
GHO-USD,2026-01-06
TEL-USD,2026-01-06
FLOKI-USD,2026-01-06
TWT-USD,2026-01-06
IOTA-USD,2026-01-06
ENS-USD,2026-01-06
BTT-USD,2026-01-06
CBETH-USD,2026-01-06
BAT-USD,2026-01-06
WIF-USD,2026-01-06
BSV-USD,2026-01-06
WZEDX-USD,2026-01-06
SUN-USD,2026-01-06
CFX-USD,2026-01-06
JST-USD,2026-01-06
PYTH-USD,2026-01-06
FARTCOIN-USD,2026-01-06
ZBU-USD,2026-01-06
CRVUSD-USD,2026-01-06
PENDLE-USD,2026-01-06
DCR-USD,2026-01-06
THETA-USD,2026-01-06
EURC-USD,2026-01-06
EETH-USD,2026-01-06
PIPPIN-USD,2026-01-06
SAND-USD,2026-01-06
HNT-USD,2026-01-06
CHZ-USD,2026-01-06
GNO-USD,2026-01-06
GALA-USD,2026-01-06
SAVAX-USD,2026-01-06
FOLKS-USD,2026-01-06
JASMY-USD,2026-01-06
FLOW-USD,2026-01-06
BETH-USD,2026-01-06
SYRUP-USD,2026-01-06
WCHZ-USD,2026-01-06
CMETH-USD,2026-01-06
DEXE-USD,2026-01-06
BORG-USD,2026-01-06
ASBNB-USD,2026-01-06
NEO-USD,2026-01-06
MANA-USD,2026-01-06
RAY-USD,2026-01-06
FRAX-USD,2026-01-06
XPL-USD,2026-01-06
GTBTC-USD,2026-01-06
UNIBTC-USD,2026-01-06
INF-USD,2026-01-06
AR-USD,2026-01-06
RBTC-USD,2026-01-06
TRAC-USD,2026-01-06
B-USD,2026-01-06
FLUID-USD,2026-01-06
VUSDT-USD,2026-01-06
WAVAX-USD,2026-01-06
LUNC-USD,2026-01-06
ULTIMA-USD,2026-01-06
XEC-USD,2026-01-06
RUNE-USD,2026-01-06
BBSOL-USD,2026-01-06
PUMPBTC-USD,2026-01-06
GLM-USD,2026-01-06
EIGEN-USD,2026-01-06
KMNO-USD,2026-01-06
EGLD-USD,2026-01-06
ZBCN-USD,2026-01-06
UDS-USD,2026-01-06
MX-USD,2026-01-06
WFTM-USD,2026-01-06
W-USD,2026-01-06
FTT-USD,2026-01-06
WFI-USD,2026-01-06
RSR-USD,2026-01-06
WEMIX-USD,2026-01-06
XSOLVBTC-USD,2026-01-06
ALE-USD,2026-01-06
CVX-USD,2026-01-06
AMP-USD,2026-01-06
LPT-USD,2026-01-06
ZANO-USD,2026-01-06
SFP-USD,2026-01-06
AXS-USD,2026-01-06
PROM-USD,2026-01-06
H-USD,2026-01-06
JSOL-USD,2026-01-06
KOGE-USD,2026-01-06
JTO-USD,2026-01-06
ZEN-USD,2026-01-06
SNX-USD,2026-01-06
CCD-USD,2026-01-06
QTUM-USD,2026-01-06
SOSO-USD,2026-01-06
DYDX-USD,2026-01-06
BSOL-USD,2026-01-06
TFUEL-USD,2026-01-06
